DATAFLOW,SPECIFICATION: Spécification,FREQ: Fréquence,TIME_PERIOD: Période,OBS_VALUE,NOTE_YEAR_2: Note année 2,NOTE_YEAR_1: Note année 1,NOTE_SPECIFICATION_2: Note spécification 2,NOTE_SPECIFICATION_1: Note spécification 1,OBS_STATUS: Statut d'observation,DECIMALS: Décimales
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2021-08,-6.29363498713212,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2021-09,-0.5515790924283,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2021-10,2.03307964068367,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2021-11,0.631838310374899,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2021-12,-12.4515615140469,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2022-01,2.94455908102123,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2022-02,5.24338701644933,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2022-03,-1.58340108939644,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2022-04,-2.41025333556614,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2022-05,-4.44372561886986,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2022-06,-1.61631199213909,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2022-07,0.0520244155161942,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2022-08,0.889160025096492,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2022-09,0.345064095062364,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2022-10,-2.77691910893326,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2022-11,0.692728200225834,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2022-12,15.6886802446937,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2023-01,-12.5801252888075,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2023-02,0.0743553165468924,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2023-03,-2.15466453892413,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2023-04,0.683090546220444,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2023-05,-1.44288697945438,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2023-06,-1.15153069517716,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2023-07,-1.84370477046785,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2023-08,7.07816164084372,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2023-09,-3.60726836490851,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2023-10,-1.6672423118254,,,SL02: Définitions : Production dans la construction,,,1: Un
